Date,ABG,ANG,APN,ARI,CLH,CLS,CPI,DSY,FBR,IMP,MTN,NED,NPN,REM,SOL,WHI,DSY,BTI,FSR,SBK
2/14/2007,5222.419434,28560.80664,2913.159668,4043.279785,933.087524,871.052551,2494.452881,2293.932373,1060.950684,13855.54395,4594.494629,6106.982422,10321.07715,2359.992188,15205.94434,974.847961,2293.932373,10379.50977,802.679199,4691.178223
2/15/2007,5364.112793,28272.31055,3021.860352,4065.216064,941.039978,868.276367,2497.85083,2290.07666,1095.62207,13462.43262,4661.742188,6179.259766,10502.81445,2405.220215,15290.72363,958.325012,2290.07666,10578.42773,825.510986,4865.549805
2/16/2007,5445.080566,27983.82031,3121.864014,4222.216797,980.537354,867.582275,2480.858887,2270.800293,1144.162476,13275.54297,4774.680664,6312.836914,10405.2168,2359.992188,15230.16602,990.898438,2270.800293,10379.50977,849.056335,4989.066895
2/19/2007,5504.592285,27811.54492,3147.952148,4408.895996,994.056458,874.522644,2480.858887,2262.318359,1144.162476,13114.43359,4748.499512,6525.55127,10489.91406,2327.123535,15496.61719,960.685364,2262.318359,10234.94727,841.921265,5037.504883
2/20/2007,5594.870117,27287.3125,3130.560303,4387.390137,980.802429,874.522644,2480.858887,2236.873291,1068.578613,12743.87598,4826.52832,6582.731934,10489.35449,2333.69751,15381.55957,952.660278,2236.873291,10263.85938,838.354126,5061.722656
2/21/2007,5587.583984,27287.3125,3087.079834,4301.362305,980.802429,881.46344,2446.874512,2236.873291,1151.09668,12857.30371,4810.102051,6518.688965,10489.91406,2287.023438,15187.77734,966.822571,2236.873291,10058.58398,841.921265,4964.364746
2/22/2007,5651.54834,27612.89648,3047.947754,4344.375488,1007.310242,907.143921,2480.858887,2327.859375,1137.228149,13275.54297,4851.169922,6548.424316,10497.76856,2346.844727,15215.02832,967.766663,2327.859375,10321.68457,875.812195,5037.504883
2/23/2007,5692.033203,27530.47266,3113.167236,4322.868652,1017.383484,902.979858,2480.858887,2404.966553,1123.359375,13726.65625,4810.102051,6669.648926,10494.96094,2336.457764,15145.38965,979.568604,2404.966553,10276.00195,872.245056,5049.614258
2/26/2007,5789.193848,27612.89648,3121.864014,4334.48291,1020.697327,936.988953,2501.249023,2389.54541,1137.228149,13939.32227,4799.833984,6614.755371,10517.40039,2327.123535,14866.82422,972.015381,2389.54541,10234.94727,880.093262,5085.941895
2/27/2007,5594.870117,26623.77734,3117.516113,4301.362305,1027.191406,902.285767,2480.858887,2305.498291,1109.490723,13533.96875,4620.673828,6228.207031,10164.01758,2300.696777,14110.46094,958.797119,2305.498291,10118.71875,849.769714,4941.114258
2/28/2007,5548.720703,25964.375,3062.730957,4172.321289,1005.984985,905.755615,2514.842773,2266.174072,1102.556641,13275.54297,4517.491699,6164.164551,9619.914063,2260.728271,14109.85254,961.157654,2266.174072,9942.931641,854.40741,4867.974121
